Time,Velocity
0.0,0.0
4e-05,0.003000030000300003
8e-05,0.006000060000600006
0.00012,0.009000090000900008
0.00016,0.012000120001200012
0.0002,0.015000150001500016
0.00024,0.018000180001800016
0.00028,0.02100021000210002
0.00032,0.024000240002400024
0.00036,0.027000270002700028
0.0004,0.03000030000300003
0.00044,0.033000330003300035
0.00048,0.03600036000360003
0.00052,0.039000390003900036
0.00056,0.04200042000420004
0.0006,0.045000450004500044
0.00064,0.04800048000480005
0.00068,0.05100051000510005
0.00072,0.054000540005400055
0.00076,0.05700057000570006
0.0008,0.06000060000600006
0.00084,0.06300063000630006
0.00088,0.06600066000660007
0.00092,0.06900069000690007
0.00096,0.07200072000720006
0.001,0.07500075000750007
0.00104,0.07800078000780007
0.00108,0.08100081000810008
0.00112,0.08400084000840008
0.00116,0.08700087000870009
0.0012,0.09000090000900009
0.00124,0.0930009300093001
0.00128,0.0960009600096001
0.00132,0.09900099000990009
0.00136,0.1020010200102001
0.0014,0.1050010500105001
0.00144,0.10800108001080011
0.00148,0.11100111001110011
0.00152,0.11400114001140012
0.00156,0.11700117001170011
0.0016,0.12000120001200013
0.00164,0.12300123001230012
0.00168,0.12600126001260012
0.00172,0.12900129001290012
0.00176,0.13200132001320014
0.0018,0.13500135001350014
0.00184,0.13800138001380013
0.00188,0.14100141001410013
0.00192,0.14400144001440013
0.00196,0.14700147001470015
0.002,0.15000150001500015
0.00204,0.15300153001530015
0.00208,0.15600156001560014
0.00212,0.15900159001590017
0.00216,0.16200162001620017
0.0022,0.16500165001650016
0.00224,0.16800168001680016
0.00228,0.17100171001710016
0.00232,0.17400174001740018
0.00236,0.17700177001770018
0.0024,0.18000180001800017
0.00244,0.18300183001830017
0.00248,0.1860018600186002
0.00252,0.1890018900189002
0.00256,0.1920019200192002
0.0026,0.1950019500195002
0.00264,0.19800198001980018
0.00268,0.2010020100201002
0.00272,0.2040020400204002
0.00276,0.2070020700207002
0.0028,0.2100021000210002
0.00284,0.21300213002130022
0.00288,0.21600216002160022
0.00292,0.21900219002190022
0.00296,0.22200222002220021
0.003,0.2250022500225002
0.00304,0.22800228002280024
0.00308,0.23100231002310023
0.00312,0.23400234002340023
0.00316,0.23700237002370023
0.0032,0.24000240002400025
0.00324,0.24300243002430025
0.00328,0.24600246002460024
0.00332,0.24900249002490024
0.00336,0.25200252002520024
0.0034,0.25500255002550026
0.00344,0.25800258002580023
0.00348,0.26100261002610026
0.00352,0.2640026400264003
0.00356,0.26700267002670025
0.0036,0.2700027000270003
0.00364,0.27300273002730024
0.00368,0.27600276002760027
0.00372,0.2790027900279003
0.00376,0.28200282002820026
0.0038,0.2850028500285003
0.00384,0.28800288002880026
0.00388,0.2910029100291003
0.00392,0.2940029400294003
0.00396,0.2970029700297003
0.004,0.3000030000300003
0.00404,0.3030030300303003
0.00408,0.3060030600306003
0.00412,0.3090030900309003
0.00416,0.3120031200312003
0.0042,0.3150031500315003
0.00424,0.31800318003180034
0.00428,0.3210032100321003
0.00432,0.32400324003240033
0.00436,0.3270032700327003
0.0044,0.3300033000330003
0.00444,0.33300333003330035
0.00448,0.3360033600336003
0.00452,0.33900339003390034
0.00456,0.3420034200342003
0.0046,0.34500345003450034
0.00464,0.34800348003480036
0.00468,0.35100351003510033
0.00472,0.35400354003540035
0.00476,0.3570035700357004
0.0048,0.36000360003600035
0.00484,0.3630036300363004
0.00488,0.36600366003660034
0.00492,0.36900369003690037
0.00496,0.3720037200372004
0.005,0.37500375003750036
0.00504,0.3780037800378004
0.00508,0.38100381003810035
0.00512,0.3840038400384004
0.00516,0.3870038700387004
0.0052,0.3900039000390004
0.00524,0.3930039300393004
0.00528,0.39600396003960037
0.00532,0.3990039900399004
0.00536,0.4020040200402004
0.0054,0.4050040500405004
0.00544,0.4080040800408004
0.00548,0.4110041100411004
0.00552,0.4140041400414004
0.00556,0.41700417004170043
0.0056,0.4200042000420004
0.00564,0.4230042300423004
0.00568,0.42600426004260045
0.00572,0.4290042900429004
0.00576,0.43200432004320044
0.0058,0.4350043500435004
0.00584,0.43800438004380043
0.00588,0.44100441004410046
0.00592,0.44400444004440043
0.00596,0.44700447004470045
0.006,0.4500045000450004
0.00604,0.45300453004530045
0.00608,0.45600456004560047
0.00612,0.45900459004590044
0.00616,0.46200462004620046
0.0062,0.46500465004650043
0.00624,0.46800468004680046
0.00628,0.4710047100471005
0.00632,0.47400474004740045
0.00636,0.4770047700477005
0.0064,0.4800048000480005
0.00644,0.48300483004830047
0.00648,0.4860048600486005
0.00652,0.48900489004890046
0.00656,0.4920049200492005
0.0066,0.4950049500495005
0.00664,0.4980049800498005
0.00668,0.5010050100501005
0.00672,0.5040050400504005
0.00676,0.5070050700507005
0.0068,0.5100051000510005
0.00684,0.5130051300513006
0.00688,0.5160051600516005
0.00692,0.5190051900519005
0.00696,0.5220052200522005
0.007,0.5250052500525005
0.00704,0.5280052800528006
0.00708,0.5310053100531005
0.00712,0.5340053400534005
0.00716,0.5370053700537005
0.0072,0.5400054000540006
0.00724,0.5430054300543006
0.00728,0.5460054600546005
0.00732,0.5490054900549005
0.00736,0.5520055200552005
0.0074,0.5550055500555006
0.00744,0.5580055800558006
0.00748,0.5610056100561005
0.00752,0.5640056400564005
0.00756,0.5670056700567006
0.0076,0.5700057000570006
0.00764,0.5730057300573006
0.00768,0.5760057600576005
0.00772,0.5790057900579005
0.00776,0.5820058200582006
0.0078,0.5850058500585006
0.00784,0.5880058800588006
0.00788,0.5910059100591006
0.00792,0.5940059400594006
0.00796,0.5970059700597006
